fact,calories,protein,carbs,fat,salt,saturates,sugars
This is more calories than eating a whole person (besides bones) would give!,143771,0,0,0,0,0,0
Woah! You just ate all seven oceans' worth of salt!,0,0,0,0,"37,400,000,000,000,000,000",0,0
